176982501,4592911.634333,5819706.163768,3
182572801,4595369.585546,5821371.057046,3
186506701,4595189.041157,5819020.902656,3
187281201,4591323.248893,5823240.906068,5.000000e-01
188495501,4592260.004014,5821254.451768,2
192413401,4594275.764525,5823397.592255,5.000000e-01
209457601,4590924.924735,5822950.013039,5.000000e-01
210563601,4594209.620847,5817046.416259,5.000000e-01
211418101,4594081.613309,5819180.686142,4
211978701,4597461.737835,5816733.196867,5.000000e-01
227953501,4591402.119029,5819954.871710,5.000000e-01
232508001,4597390.076805,5816790.090499,5.000000e-01
236874501,4594898.196740,5819872.555918,4
242737701,4595357.034299,5822076.878788,2
242802701,4594976.284759,5821300.023539,3
247788701,4597739.352374,5820257.095225,5.000000e-01
254554401,4594670.404431,5819497.020349,4
256161401,4593331.476055,5818623.631464,3
273464001,4591541.265563,5817727.134529,5.000000e-01
274722601,4591629.443439,5822441.391827,5.000000e-01
283806801,4591604.115602,5823199.332283,5.000000e-01
283865001,4595108.517974,5821347.816345,3
286063001,4598129.545354,5820397.853601,5.000000e-01
292631201,4592453.457564,5816829.789288,5.000000e-01
293231101,4596563.057746,5821855.543345,2
296136401,4593176.923746,5820068.833121,3
307994401,4591968.188100,5820789.898711,2
311302101,4594501.363137,5818107.824359,2
311908601,4595689.927689,5820198.492541,3
312323701,4590856.951183,5819972.799652,5.000000e-01
320083601,4591581.199227,5817179.373573,5.000000e-01
321041501,4595101.286647,5821238.102798,3
321063501,4594874.835109,5820484.400566,4
322645001,4595530.481600,5819323.181807,3
328333301,4594294.444889,5819602.038057,4
331128901,4595370.541277,5823290.791888,5.000000e-01
334253901,4591408.275509,5822028.388773,5.000000e-01
338591101,4591329.058544,5823203.841312,5.000000e-01
342550301,4593860.769858,5821064.115019,4
345867401,4591671.133850,5820020.787585,2
347316601,4594123.315891,5819519.581836,4
361386201,4598093.415557,5821043.249260,5.000000e-01
362965201,4594072.118137,5821766.127233,3
363066101,4593719.358823,5821476.407966,3
363887201,4593747.571363,5817985.935644,2
365345401,4595254.478989,5820927.278836,4
375383701,4597827.176356,5819663.180154,5.000000e-01
381728501,4592038.660285,5817976.760087,5.000000e-01
391002701,4593987.404970,5816531.457533,5.000000e-01
398097901,4593865.614783,5818944.463879,3
401512901,4594524.079070,5818169.058894,2
403557101,4597400.097022,5822551.786922,5.000000e-01
405295901,4594344.340799,5823070.402153,2
408580301,4594701.579184,5818138.184019,2
415797401,4591761.987964,5822313.725870,5.000000e-01
427661601,4593729.493386,5821415.530796,3
429328001,4596200.313199,5819800.232055,3
431159601,4592442.813374,5822704.458776,5.000000e-01
434980401,4594786.063482,5820448.729559,4
436845401,4595442.865455,5819772.081564,4
441502301,4591816.950582,5822835.100099,5.000000e-01
446633701,4594808.549074,5820846.478892,4
448300201,4595991.311166,5821509.857596,3
